ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Original_Name,Glottolog_Name
A93_Kako,A93_Kako,,3.79989,15.6282,kako1242,,,A93_Kako,Kako
Aghem_Grassfields,Aghem_Grassfields,,6.38956,10.0807,aghe1239,,,Aghem_Grassfields,Aghem
B11a_Mpongwe,B11a_Mpongwe,,-1.48741,9.50247,myen1241,,xd167,B11a_Mpongwe,Myene
B11b_Orungu,B11b_Orungu,,-1.48741,9.50247,myen1241,,,B11b_Orungu,Myene
B11c_Galwa,B11c_Galwa,,-1.48741,9.50247,myen1241,,,B11c_Galwa,Myene
B11d_Dyumba,B11d_Dyumba,,-1.48741,9.50247,myen1241,,,B11d_Dyumba,Myene
B11F_Enenga,B11F_Enenga,,-1.48741,9.50247,myen1241,,,B11F_Enenga,Myene
B201_Ndasa,B201_Ndasa,,-2.449015,13.369465,ndas1238,,,B201_Ndasa,Ndasa
B202_Sigu,B202_Sigu,,-0.95605,13.1214,sigh1238,,,B202_Sigu,Sighu
B203_Samaye,B203_Samaye,,-0.012,13.61,osam1235,,,B203_Samaye,Osamayi
B204_Ndambomo_Li,B204_Ndambomo_Li,,-0.82,12.77,ndam1254,,,B204_Ndambomo_Li,Ndambomo
B204_Ndambomo_Massoukou,B204_Ndambomo_Massoukou,,-0.82,12.77,ndam1254,,,B204_Ndambomo_Massoukou,Ndambomo
B204_Ndambomo_Mbadi,B204_Ndambomo_Mbadi,,-0.82,12.77,ndam1254,,,B204_Ndambomo_Mbadi,Ndambomo
B21_Seki,B21_Seki,,1.52302,9.79206,seki1238,,,B21_Seki,Seki
B22a_Kele,B22a_Kele,,-0.78854,10.3836,kele1257,,,B22a_Kele,Kélé
B22b_Koya,B22b_Koya,,0.882925,14.1345,ngom1270,,,B22b_Koya,Ngom
B22b_Ngom,B22b_Ngom,,0.882925,14.1345,ngom1270,,,B22b_Ngom,Ngom
B22E_Mwesa,B22E_Mwesa,,0.086134,13.30037,mwes1234,,,B22E_Mwesa,Mwesa
B23_Mbangwe,B23_Mbangwe,,-2.28729,13.5956,mban1268,,,B23_Mbangwe,Mbangwe
B24_Wumbvu,B24_Wumbvu,,-2.39234,12.264,wumb1242,,,B24_Wumbvu,Wumbvu
B25_Kota,B25_Kota,,1.016,13.97,kota1274,,xd162,B25_Kota,Kota (Gabon)
B251_Shake,B251_Shake,,0.25188,11.787,sake1247,,,B251_Shake,Sake
B252_Mahongwe,B252_Mahongwe,,0.64356,14.0472,maho1248,,,B252_Mahongwe,Mahongwe
B301_Viya,B301_Viya,,-1.22,10.58,eviy1235,,,B301_Viya,Viya
B302_Himba,B302_Himba,,-1.28107,11.1783,simb1254,,,B302_Himba,Simba
B304_Pinzi,B304_Pinzi,,-1.90305,11.223,pinj1243,,,B304_Pinzi,Pinji
B305_Vove,B305_Vove,,-1.16762,12.32251,bubi1250,,,B305_Vove,Bubi
B31_Tsogo,B31_Tsogo,,-1.55469,11.1359,tsog1243,,xd40,B31_Tsogo,Tsogo
B32_Kande,B32_Kande,,-0.00776,11.7076,kand1300,,,B32_Kande,Kande
B404_Ngubi,B404_Ngubi,,-3.433411,10.768112,ngub1239,,,B404_Ngubi,Ngubi
B41_Shira,B41_Shira,,-1.78084,10.4635,sira1266,,,B41_Shira,Sira
B42_Sangu_Mb,B42_Sangu_Mb,,-1.52694,11.9098,sang1333,,,B42_Sangu_Mb,Sangu (Gabon)
B42_Sangu_Mi,B42_Sangu_Mi,,-1.52694,11.9098,sang1333,,,B42_Sangu_Mi,Sangu (Gabon)
B43_Punu,B43_Punu,,-2.67362,11.6714,punu1239,,,B43_Punu,Punu
B44_Lumbu,B44_Lumbu,,-3.37917,11.124,lumb1249,,,B44_Lumbu,Lumbu
B501_Wanzi_E,B501_Wanzi_E,,-1.51945,12.8951,wand1266,,,B501_Wanzi_E,Wandji
B501_Wanzi_Mo,B501_Wanzi_Mo,,-1.51945,12.8951,wand1266,,,B501_Wanzi_Mo,Wandji
B503_Vili,B503_Vili,,-2.752859,10.305563,vili1239,,,B503_Vili,Vili of Ngounie
B51_Duma,B51_Duma,,-0.91927,13.0046,duma1253,,,B51_Duma,Duma
B51_Duma_La,B51_Duma_La,,-0.91927,13.0046,duma1253,,,B51_Duma_La,Duma
B52_Nzebi,B52_Nzebi,,-2.18115,12.7063,njeb1242,,,B52_Nzebi,Njebi
B53_Tsaangi_Poungi,B53_Tsaangi_Poungi,,-2.29245,12.7581,tsaa1242,,,B53_Tsaangi_Poungi,Tsaangi
B601_Lempini,B601_Lempini,,-0.477445,14.2877,mber1257,,,B601_Lempini,Mbere-Mbamba
B602_Kaningi_Nord,B602_Kaningi_Nord,,-1.71316,13.6111,kani1279,,,B602_Kaningi_Nord,Kaningi
B602_Kaningi_Sud,B602_Kaningi_Sud,,-1.71316,13.6111,kani1279,,,B602_Kaningi_Sud,Kaningi
B62_Mbaama,B62_Mbaama,,-0.477445,14.2877,mber1257,,,B62_Mbaama,Mbere-Mbamba
B63_Ndumu,B63_Ndumu,,-1.67033,13.7279,ndum1239,,,B63_Ndumu,Ndumu
B701_Atsitsege,B701_Atsitsege,,-2.03393,13.6001,tchi1245,,,B701_Atsitsege,Tchitchege
B71a_Teke_Dj,B71a_Teke_Dj,,-1.61688,14.8664,teke1275,,,B71a_Teke_Dj,Latege
B71a_Teke_Os,B71a_Teke_Os,,-1.61688,14.8664,teke1275,,,B71a_Teke_Os,Latege
B71aIb_Teke_Ibali_Congo,B71aIb_Teke_Ibali_Congo,,-4.20697,15.3893,ibal1241,,,B71aIb_Teke_Ibali_Congo,Kwa South
B71aLe_Teke_Leconi,B71aLe_Teke_Leconi,,-1.61688,14.8664,teke1275,,,B71aLe_Teke_Leconi,Latege
B77b_Fumu,B77b_Fumu,,-3.59003,15.5061,teke1274,,,B77b_Fumu,Teke-Fuumu
B78_Wuumu,B78_Wuumu,,-4.27,15.72,wuum1239,,,B78_Wuumu,Wuumu-Mpuono
B81_Tiene,B81_Tiene,,-2.84694,16.4765,tien1242,,,B81_Tiene,Tiene
B82_Buma,B82_Buma,,-3.01,16.92,boma1251,,,B82_Buma,Boma Nord
B84_Mbunda,B84_Mbunda,,-5.21134,19.4269,mpuo1241,,xd46,B84_Mbunda,Mbuun
B85_Yanzi,B85_Yanzi,,-3.8231,18.2341,yans1239,,xd51,B85_Yanzi,Yansi
B85d_Nsongo,B85d_Nsongo,,-4.55057,18.4978,song1299,,xd50,B85d_Nsongo,Nsong-Mpiin
B85e_Mput,B85e_Mput,,-4.44304,19.3881,ding1239,,,B85e_Mput,Ding
B86_Dinga,B86_Dinga,,-4.44304,19.3881,ding1239,,xd47,B86_Dinga,Ding
B86_Dzing,B86_Dzing,,-4.44304,19.3881,ding1239,,,B86_Dzing,Ding
B861_Ngul,B861_Ngul,,-4.09816,19.5129,ngul1247,,,B861_Ngul,Ngwii
B862_Lwel,B862_Lwel,,-4.38475,20.6314,lwel1234,,,B862_Lwel,Lwel
B863_Pindi,B863_Pindi,,-4.55057,18.4978,song1299,,,B863_Pindi,Nsong-Mpiin
B864_Ngong,B864_Ngong,,-5.5,18.2,ngon1267,,,B864_Ngong,Ngongo
B865_Nzadi,B865_Nzadi,,-4.102208,20.194462,nzad1234,,,B865_Nzadi,Nzadi
Bamun_Grassfields,Bamun_Grassfields,,5.49017,10.8477,bamu1253,,xd172,Bamun_Grassfields,Bamun
Bile_Jarawan,Bile_Jarawan,,8.90052,11.1907,bile1244,,,Bile_Jarawan,Bile
Bwazza_Jarawan,Bwazza_Jarawan,,9.60769,12.2439,mbul1260,,,Bwazza_Jarawan,Mbula-Bwazza
C101_Babole_Dz,C101_Babole_Dz,,1.07773,17.2305,dibo1245,,,C101_Babole_Dz,Dibole
C101_Babole_Ep,C101_Babole_Ep,,1.70044,17.3733,bomi1238,,,C101_Babole_Ep,Bomitaba
C101_Babole_Ma,C101_Babole_Ma,,1.07773,17.2305,dibo1245,,,C101_Babole_Ma,Dibole
C104_Aka,C104_Aka,,3.6515,17.2713,yaka1272,,xd923 xd924,C104_Aka,Yaka (Central African Republic)
C105_Mbenga,C105_Mbenga,,2.11942,20.8759,maba1270,,,C105_Mbenga,Mabaale
C141_Bonyala,C141_Bonyala,,-1.23019,15.5322,mbos1242,,,C141_Bonyala,Mbosi
C142_Mondongo,C142_Mondongo,,2.16773,19.1644,bamw1238,,,C142_Mondongo,Bamwe
C15_Bongili,C15_Bongili,,0.37063,16.6079,bong1284,,,C15_Bongili,Bongili
C21_Ngare,C21_Ngare,,0.43541,14.7935,mbok1243,,,C21_Ngare,Mboko
C22_Akwa,C22_Akwa,,-0.39897,15.4623,akwa1248,,,C22_Akwa,Akwa
C24_Koyo,C24_Koyo,,-0.69688,15.7508,koyo1242,,,C24_Koyo,Koyo
C25_Mboshi,C25_Mboshi,,-1.23019,15.5322,mbos1242,,,C25_Mboshi,Mbosi
C25A_Bunji,C25A_Bunji,,-1.23019,15.5322,mbos1242,,,C25A_Bunji,Mbosi
C25B_Olee,C25B_Olee,,-1.23019,15.5322,mbos1242,,,C25B_Olee,Mbosi
C25C_Ondinga,C25C_Ondinga,,-1.23019,15.5322,mbos1242,,,C25C_Ondinga,Mbosi
C25E_Eboyi,C25E_Eboyi,,-0.69688,15.7508,koyo1242,,,C25E_Eboyi,Koyo
C302_Bolondo,C302_Bolondo,,2.46327,19.6181,bolo1263,,,C302_Bolondo,Bolondo
C32_Bobangi,C32_Bobangi,,-0.87437,17.227,bang1354,,,C32_Bobangi,Bobangi
C322_Zamba,C322_Zamba,,1.25,18.3,zamb1245,,,C322_Zamba,Zamba
C323_Mpama,C323_Mpama,,-0.739203,17.685662,mpam1239,,,C323_Mpama,Mpama
C34_Sakata,C34_Sakata,,-2.85653,17.9669,saka1287,,xd49,C34_Sakata,Sakata
C36d_Lingala,C36d_Lingala,,-4.409174,15.28532,ling1263,,xd147,C36d_Lingala,Kinshasa Lingala
C36g_Monyongo,C36g_Monyongo,,2.16773,19.1644,bamw1238,,,C36g_Monyongo,Bamwe
C36g_Mosange,C36g_Mosange,,2.15101,19.4087,ndol1238,,,C36g_Mosange,Ndolo
C37_Ebudza,C37_Ebudza,,2.19951,22.6107,budz1238,,xd157,C37_Ebudza,Budza
C401_Babati_1919,C401_Babati_1919,,2.5957,25.2514,bwaa1238,,,C401_Babati_1919,Bwa
C401_Pakabete,C401_Pakabete,,3.15636,22.1212,pagi1243,,,C401_Pakabete,Pagibete
C41_Ngombe,C41_Ngombe,,1.45357,20.14148,ngom1268,,xd159,C41_Ngombe,Ngombe (Democratic Republic of Congo)
C412_Libobi,C412_Libobi,,2.16773,19.1644,bamw1238,,,C412_Libobi,Bamwe
C42_Ebwela,C42_Ebwela,,3.22,19.28,bwel1238,,,C42_Ebwela,Bwela
C43A_Baati,C43A_Baati,,2.5957,25.2514,bwaa1238,,,C43A_Baati,Bwa
C44_Bwa,C44_Bwa,,2.5957,25.2514,bwaa1238,,,C44_Bwa,Bwa
C52_Soko,C52_Soko,,1.25037,23.6907,sode1235,,,C52_Soko,So (Democratic Republic of Congo)
C52_Soko_1919,C52_Soko_1919,,1.25037,23.6907,sode1235,,,C52_Soko_1919,So (Democratic Republic of Congo)
C54_Turumba_1919,C54_Turumba_1919,,0.88267,24.6862,lomb1260,,,C54_Turumba_1919,Lombo
C55_Lokele,C55_Lokele,,0.36906,24.3098,kele1255,,,C55_Lokele,Kele-Foma
C61_Mongo,C61_Mongo,,-1.54228,20.4259,mong1338,,xd143 xd160,C61_Mongo,Mongo
C61E_Konda,C61E_Konda,,-1.54228,20.4259,mong1338,,xd139,C61E_Konda,Mongo
C71_Tetela,C71_Tetela,,-4.29314,24.546,tete1250,,xd144,C71_Tetela,Tetela
C76_Ombo,C76_Ombo,,-2.32162,25.1748,ombo1238,,,C76_Ombo,Ombo
C81_Dengese,C81_Dengese,,-3.26337,21.4194,deng1250,,,C81_Dengese,Dengese
C83_Bushong,C83_Bushong,,-4.69463,21.4556,bush1247,,xd66,C83_Bushong,Bushoong
C85_Wongo,C85_Wongo,,-5.73837,20.5054,wong1247,,,C85_Wongo,Wongo
D11_Mbole,D11_Mbole,,-0.57181,24.0443,mbol1247,,,D11_Mbole,Mbole
D12_Lengola,D12_Lengola,,-1.95874,25.3343,leng1258,,,D12_Lengola,Lengola
D13_Metoko,D13_Metoko,,-1.57031,25.104,mitu1240,,,D13_Metoko,Mituku
D14_Enya,D14_Enya,,0.56,25.15,enya1247,,,D14_Enya,Enya-Kisangani
D201_Liko,D201_Liko,,2.13777,27.6088,lika1243,,,D201_Liko,Liko
D20B_Vamba_1919,D20B_Vamba_1919,,0.81206,30.0014,amba1263,,,*D20B_Vamba_1919,Amba (Uganda)
D21_Baali,D21_Baali,,1.1807,26.5941,bali1274,,xd153,D21_Baali,Bali (Democratic Republic of Congo)
D211_Kango,D211_Kango,,1.59855,27.0186,kang1285,,xd5,D211_Kango,Kango (Tshopo District)
D23_Kibira_Kumu_1919,D23_Kibira-Kumu_1919,,-0.76333,26.7144,komo1260,,xd152,D23_Kibira-Kumu_1919,Komo (Democratic Republic of Congo)
D24_Songola,D24_Songola,,-2.21871,26.3477,song1300,,xd129,D24_Songola,Songoora
D25_Lega,D25_Lega,,-3.83196,27.1424,lega1249,,,D25_Lega,Lega-Shabunda
D28_Holoholo,D28_Holoholo,,-5.37545,28.3274,holo1240,,,D28_Holoholo,Holoholo
D301_Kare,D301_Kare,,5.03525,25.7491,kari1306,,,D301_Kare,Kari
D304_Homa_1919,D304_Homa_1919,,4.97912,28.0039,homa1239,,,*D304_Homa_1919,Homa
D305_Nyanga_li,D305_Nyanga-li,,-1.29357,28.31546,nyan1304,,,*D305_Nyanga-li,Nyanga
D308_Bodo2,D308_Bodo2,,2.00501,27.951,budu1250,,,*D308_Bodo2,Budu
D308_Ebodo,D308_Ebodo,,2.00501,27.951,budu1250,,,*D308_Ebodo,Budu
D311_Bila,D311_Bila,,1.16839,28.7626,bila1255,,xd150,D311_Bila,Bila
D313_Mbuttu_1919,D313_Mbuttu_1919,,2.00501,27.951,budu1250,,,D313_Mbuttu_1919,Budu
D32_Bira,D32_Bira,,1.16839,28.7626,bila1255,,xd154,D32_Bira,Bila
D32_Bira_Bunia,D32_Bira_Bunia,,1.50054,30.0293,bera1259,,,D32_Bira_Bunia,Bera
D33_Nyali,D33_Nyali,,1.92098,30.0201,nyal1250,,,D33_Nyali,Nyali
D331_Bvanuma,D331_Bvanuma,,0.93847,29.81348,vanu1242,,,D331_Bvanuma,Vanuma
D333_Ndaaka,D333_Ndaaka,,1.53341,27.9693,ndak1241,,,D333_Ndaaka,Ndaka
D334_Mbo,D334_Mbo,,1.11602,28.018,mbod1238,,,D334_Mbo,Mbo (Democratic Republic of Congo)
D43_Nyanga,D43_Nyanga,,-1.29357,28.31546,nyan1304,,,D43_Nyanga,Nyanga
D55_Buyu,D55_Buyu,,-5.41806,28.5545,buyu1239,,xd57,D55_Buyu,Buyu
Duguri_Jarawan,Duguri_Jarawan,,10.05,10.21,dugu1249,,,Duguri_Jarawan,Duguri
E46_Sonjo,E46_Sonjo,,-2.19303,35.8035,temi1247,,xd108,E46_Sonjo,Temi
E51_Kikuyu,E51_Kikuyu,,-0.29005,36.719,kiku1240,,xd109,E51_Kikuyu,Kikuyu
E52_Embu,E52_Embu,,-0.62822,37.5933,embu1241,,,E52_Embu,Embu
E52_Mbeere,E52_Mbeere,,-0.62822,37.5933,embu1241,,,E52_Mbeere,Embu
E53_Igoji,E53_Igoji,,0.26484,37.7396,meru1245,,,E53_Igoji,Meru
E53_Imenti,E53_Imenti,,0.26484,37.7396,meru1245,,,E53_Imenti,Meru
E53_Meru,E53_Meru,,0.26484,37.7396,meru1245,,xd104,E53_Meru,Meru
E53_Meruimenti,E53_Meruimenti,,0.26484,37.7396,meru1245,,,E53_Meruimenti,Meru
E53_Merutig,E53_Merutig,,0.26484,37.7396,meru1245,,,E53_Merutig,Meru
E53_Miutini,E53_Miutini,,0.26484,37.7396,meru1245,,,E53_Miutini,Meru
E53_Tigania,E53_Tigania,,0.26484,37.7396,meru1245,,,E53_Tigania,Meru
E531_Muthambi,E531_Muthambi,,-0.11968,37.5939,mwim1241,,,E531_Muthambi,Mwimbi-Muthambi
E531_Mwimbi,E531_Mwimbi,,-0.11968,37.5939,mwim1241,,,E531_Mwimbi,Mwimbi-Muthambi
E54_Tharaka,E54_Tharaka,,-0.13221,38.073,thar1283,,,E54_Tharaka,Tharaka
E541_Chuka,E541_Chuka,,-0.27405,37.6116,chuk1274,,,E541_Chuka,Chuka
E55_Kamba,E55_Kamba,,-1.60827,37.9532,kamb1297,,xd103,E55_Kamba,Kamba (Kenya)
E55_Kamba_Kitu,E55_Kamba_Kitu,,-1.60827,37.9532,kamb1297,,,E55_Kamba_Kitu,Kamba (Kenya)
E55_Kamba_Mach,E55_Kamba_Mach,,-1.60827,37.9532,kamb1297,,,E55_Kamba_Mach,Kamba (Kenya)
E56_Daiso,E56_Daiso,,-4.81209,38.818,dhai1238,,,E56_Daiso,Dhaiso
E621B_Machame,E621B_Machame,,-3.29385,37.0703,mach1266,,,E621B_Machame,Machame
E621C_Siha,E621C_Siha,,-3.29385,37.0703,mach1266,,,E621C_Siha,Machame
E621D_Kibosho,E621D_Kibosho,,-3.29385,37.0703,mach1266,,,E621D_Kibosho,Machame
E622A_Kimochi,E622A_Kimochi,,-3.33743,37.3357,moch1256,,xd98,E622A_Kimochi,Mochi
E622C_Lema,E622C_Lema,,-3.42531,37.5847,vunj1238,,,E622C_Lema,Vunjo
E622C_Mamba,E622C_Mamba,,-3.42531,37.5847,vunj1238,,,E622C_Mamba,Vunjo
E622C_Vunjo,E622C_Vunjo,,-3.42531,37.5847,vunj1238,,,E622C_Vunjo,Vunjo
E623_Mkuu,E623_Mkuu,,-3.07772,37.5382,romb1244,,,E623_Mkuu,Rombo
E623A_Kiseri,E623A_Kiseri,,-3.07772,37.5382,romb1244,,,E623A_Kiseri,Rombo
E623D_Keni,E623D_Keni,,-3.07772,37.5382,romb1244,,,E623D_Keni,Rombo
E64_Kahe,E64_Kahe,,-3.51412,37.5759,kahe1238,,,E64_Kahe,Kahe
E65_Gweno,E65_Gweno,,-3.68407,37.6827,gwen1239,,,E65_Gweno,Gweno
E701_Elwana,E701_Elwana,,-0.66322,39.793,ilwa1237,,,E701_Elwana,Ilwana
E71A_Upper_Pokomo,E71A_Upper_Pokomo,,-2.31587,40.2897,poko1261,,xd102,E71A_Upper_Pokomo,Pokomo
E72a_Giryama,E72a_Giryama,,-3.30638,39.6648,giry1241,,xd101,E72a_Giryama,Giryama
E73_Digo,E73_Digo,,-4.62101,39.1752,digo1243,,xd99,E73_Digo,Digo
E74a_Dawida,E74a_Dawida,,-3.79347,38.57254,tait1250,,,E74a_Dawida,Taita
E74a_Tuveta,E74a_Tuveta,,-3.41822,37.7061,tave1240,,,E74a_Tuveta,Taveta
F12_Bende,F12_Bende,,-6.22082,30.5926,bend1258,,xd85,F12_Bende,Bende
F21_Ntuzu,F21_Ntuzu,,-3.16082,32.8765,suku1261,,,F21_Ntuzu,Sukuma
F21_Sukuma,F21_Sukuma,,-3.16082,32.8765,suku1261,,xd90,F21_Sukuma,Sukuma
F22_Nyamwezi,F22_Nyamwezi,,-5.08559,32.94452,nyam1276,,,F22_Nyamwezi,Nyamwezi
F23_Sumbwa,F23_Sumbwa,,-3.47335,31.9457,sumb1240,,xd117,F23_Sumbwa,Sumbwa
F24_Kimbu,F24_Kimbu,,-7.23023,33.6445,kimb1242,,,F24_Kimbu,Kimbu
F25_Bungu,F25_Bungu,,-8.32587,32.8801,bung1265,,,F25_Bungu,Bungu
F31_Nyiramba,F31_Nyiramba,,-4.50002,34.3068,nila1242,,,F31_Nyiramba,Nilamba
F32_Nyaturucha,F32_Nyaturucha,,-5.12263,34.6657,nyat1246,,,F32_Nyaturucha,Nyaturu
F32_Nyaturuwil,F32_Nyaturuwil,,-5.12263,34.6657,nyat1246,,xd94,F32_Nyaturuwil,Nyaturu
F33_Langi,F33_Langi,,-4.71413,35.9517,lang1320,,xd93,F33_Langi,Langi
Fefe_Grassfields,Fefe_Grassfields,,5.18158,10.1442,fefe1239,,xd171,Fefe_Grassfields,Fe'fe'
G11_Gogo,G11_Gogo,,-6.35951,35.4807,gogo1263,,xd92,G11_Gogo,Gogo
G12_Kagulu,G12_Kagulu,,-6.38204,37.0534,kagu1239,,xd121,G12_Kagulu,Kagulu
G22_Asu,G22_Asu,,-4.17978,37.8323,asut1235,,xd105,G22_Asu,Asu (Tanzania)
G22A_North_Pare,G22A_North_Pare,,-4.17978,37.8323,asut1235,,,G22A_North_Pare,Asu (Tanzania)
G22B_South_Pare,G22B_South_Pare,,-4.17978,37.8323,asut1235,,,G22B_South_Pare,Asu (Tanzania)
G23_Sambaa,G23_Sambaa,,-4.8,38.29,sham1280,,,G23_Sambaa,Shambala
G24_Bondei,G24_Bondei,,-5.10749,38.5079,bond1247,,,G24_Bondei,Bondei
G31_Zigua,G31_Zigua,,-5.61864,38.41138,zigu1244,,xd96,G31_Zigua,Zigula-Mushungulu
G32_Doe,G32_Doe,,-6.25844,38.4902,doee1238,,,G32_Doe,Doe
G32_Kwere,G32_Kwere,,-6.50666,38.4449,kwer1261,,xd95,G32_Kwere,Kwere
G33_Zaramo,G33_Zaramo,,-6.87705,38.9258,zara1247,,,G33_Zaramo,Zaramo
